x1,y1,,x2,y2,,x3,y3,,x4,y4,,x5,y5,,x6,y6,,x7,y7,,x8,y8,,x9,y9,,x10,y10,,x11,y11,,x12,y12
76.88695207,158.7046,,76.91332068,122.1111,,76.97848463,165.8019,,76.9632122,171.8957,,76.93914306,118.2148,,76.87148344,184.5584,,76.9780114,287.3076,,76.87634926,210.8858,,76.97342695,287.6258,,76.93357004,217.1592,,76.79008946,194.2951,,76.76827151,200.575
77.88548392,158.4386,,77.91219497,120.8499,,77.97820521,165.0498,,77.96273444,171.0582,,77.93835271,117.9629,,77.8698144,183.8788,,77.97772583,287.3327,,77.87474341,210.1833,,77.97308184,287.2669,,77.93270731,216.8857,,77.78736334,193.8762,,77.76526205,200.1164
78.88401576,158.1869,,78.91106927,119.7442,,78.97792578,164.2091,,78.96225667,170.2633,,78.93756236,117.4893,,78.86814535,183.2483,,78.97744027,287.2944,,78.87313755,209.4577,,78.97273674,287.0521,,78.93184459,216.5675,,78.78463724,193.3891,,78.76225259,199.4489
79.88254761,157.9025,,79.90994357,118.9338,,79.97764636,163.3465,,79.96177891,169.3948,,79.93677201,116.8689,,79.86647631,182.6113,,79.9771547,286.9332,,79.8715317,208.7373,,79.97239163,286.8203,,79.93098186,216.1943,,79.78191112,192.9163,,79.75924313,198.9379
80.88107945,157.623,,80.90881786,118.4364,,80.97736694,162.5291,,80.96130115,168.6057,,80.93598166,116.1874,,80.86480726,181.8854,,80.97686913,286.3127,,80.86992585,207.9534,,80.97204653,286.3548,,80.93011913,215.7988,,80.77918501,192.215,,80.75623367,198.4424
81.8796113,157.4119,,81.90769215,118.2311,,81.97708752,161.7787,,81.96082338,167.8815,,81.93519131,115.3141,,81.86313821,181.0363,,81.97658357,285.6034,,81.86831999,207.1056,,81.97170142,285.621,,81.92925641,215.4901,,81.7764589,191.4779,,81.75322421,197.9439
82.87814314,157.1306,,82.90656645,118.006,,82.9768081,160.8468,,82.96034562,167.0625,,82.93440096,114.5768,,82.86146917,180.196,,82.976298,284.8794,,82.86671414,206.3109,,82.97135632,284.7913,,82.92839368,215.193,,82.77373279,190.8024,,82.75021474,197.5227
83.87667499,156.7125,,83.90544074,117.8746,,83.97652868,159.4275,,83.95986786,166.2775,,83.93361061,113.8978,,83.85980012,179.3822,,83.97601243,283.9779,,83.86510829,205.6149,,83.97101121,283.9091,,83.92753095,214.8367,,83.77100668,190.0536,,83.74720528,197.2402
84.87520684,156.1707,,84.90431504,117.8598,,84.97624926,157.6729,,84.95939009,165.5277,,84.93282026,113.1974,,84.85813107,178.556,,84.97572686,283.134,,84.86350243,204.8999,,84.97066611,283.086,,84.92666823,214.4892,,84.76828057,189.2893,,84.74419582,197.0359
85.87373868,155.5635,,85.90318933,117.8438,,85.97596984,155.9408,,85.95891233,164.8976,,85.93202991,112.4684,,85.85646203,177.682,,85.9754413,282.3805,,85.86189658,204.0993,,85.97032101,282.2478,,85.9258055,214.0641,,85.76555446,188.6401,,85.74118636,196.8236
86.87227052,155.137,,86.90206363,117.8198,,86.97569042,154.1963,,86.95843456,164.241,,86.93123956,111.7508,,86.85479298,176.6443,,86.97515573,281.7268,,86.86029072,203.1683,,86.9699759,281.5734,,86.92494277,213.6015,,86.76282835,188.1087,,86.7381769,196.5813
87.87080237,154.9575,,87.90093792,117.8183,,87.975411,152.4077,,87.9579568,163.5502,,87.93044921,111.0388,,87.85312393,175.5148,,87.97487017,281.0916,,87.85868487,202.1878,,87.96963079,280.9955,,87.92408005,213.0006,,87.76010224,187.7027,,87.73516744,196.3074
88.86933421,154.8641,,88.89981222,117.8537,,88.97513158,150.8369,,88.95747904,162.8645,,88.92965886,110.2851,,88.85145489,174.3521,,88.9745846,280.3232,,88.85707902,201.2579,,88.96928569,280.3252,,88.92321732,212.3924,,88.75737612,187.2947,,88.73215798,195.9603
89.86786606,154.8116,,89.89868651,118.0336,,89.97485216,149.063,,89.95700127,162.1822,,89.92886851,109.5739,,89.84978584,173.2532,,89.97429903,279.408,,89.85547316,200.3941,,89.96894059,279.5873,,89.92235459,211.781,,89.75465001,186.4736,,89.72914852,195.5523
90.86639791,154.7955,,90.8975608,118.3585,,90.97457274,147.5337,,90.95652351,161.5173,,90.92807816,108.9568,,90.8481168,172.2534,,90.97401347,278.5178,,90.85386731,199.5521,,90.96859548,278.9315,,90.92149187,211.0092,,90.7519239,185.3089,,90.72613906,195.1632
91.86492975,154.7982,,91.8964351,118.7362,,91.97429332,146.6137,,91.95604574,160.8703,,91.92728781,108.3454,,91.84644775,171.426,,91.9737279,277.6245,,91.85226146,198.8189,,91.96825038,278.2363,,91.92062914,210.4572,,91.74919779,184.2004,,91.7231296,194.8813
92.8634616,154.8027,,92.89530939,119.2603,,92.9740139,145.984,,92.95556798,160.357,,92.92649746,107.7314,,92.8447787,170.5325,,92.97344233,276.7254,,92.85065561,198.1902,,92.96790527,277.5617,,92.91976641,210.1261,,92.74647168,183.5699,,92.72012013,194.6253
93.86199344,154.7302,,93.89418369,119.9133,,93.97373448,145.4521,,93.95509022,159.7684,,93.92570711,107.1367,,93.84310966,169.5588,,93.97315677,275.7358,,93.84904975,197.5863,,93.96756017,276.9776,,93.91890369,209.8637,,93.74374557,183.4206,,93.71711067,194.3439
94.86052528,154.4357,,94.89305798,120.6218,,94.97345506,144.7877,,94.95461245,159.0576,,94.92491676,106.4676,,94.84144061,168.6956,,94.9728712,274.659,,94.8474439,197.0404,,94.96721506,276.4266,,94.91804096,209.5299,,94.74101946,183.4077,,94.71410121,194.0606
